1,1
2,3
3,4
6,4
7,6
8,8
10,0
11,3
12,6
13,9
15,2
16,5
17,7
18,9
20,2
21,5
22,8
24,1
25,4
26,8
28,1
29,4
30,7
32,1
33,4
34,7
36,0
37,3
38,6
40,0
41,3
42,6
43,9
45,2
46,6
47,9
49,2
50,5
51,8
53,2
54,5
55,8
57,1
58,4
59,8
61,1
62,4
63,7
65,0
66,3
67,6
69,0
70,3
71,6
72,9
74,2
75,5
76,8
78,2
79,5
80,8
82,1
83,4
84,7
86,0
87,3
88,6
89,9
94,9
95,1
95,2
95,3
95,3
95,2
95,4
95,4
95,4
95,4
95,4
95,4
95,4
95,5
95,5
95,5
95,5
95,6
95,6
95,6
95,5
95,5
95,6
95,6
95,6
95,7
95,5
95,6
95,4
95,4
95,5
95,5
95,4
95,4
95,4
95,4
95,5
95,6
95,5
95,6
95,7
95,6
95,7
95,7
95,7
95,7
95,6
95,6
95,7
95,6
95,5
95,6
95,6
95,6
95,6
95,5
95,2
95,2
95,3
