8776,4
8736,8
8706,6
8701,1
8701,1
8473,4
8147,3
7860,1
7703,4
7375,6
7049,5
6725,2
6400,8
5690,3
5363,0
4744,3
4433,2
4188,6
3872,3
3643,2
3333,2
3002,4
2671,8
2341,7
2012,2
1681,4
1350,7
1021,3
691,1
361,1
151,6
145,9
143,1
143,2
141,5
140,8
5022,6
4835,6
4641,4
4448,0
4255,0
4058,1
3869,9
3629,9
3427,1
3248,1
3071,1
2899,1
2721,2
2546,0
2371,1
2314,5
2163,0
2000,3
1837,9
1675,0
1512,3
1350,6
1187,5
1025,3
862,9
700,2
537,0
374,6
211,9
143,4
131,7
140,7
117,0
154,5
115,9
11433,5
11432,0
11430,8
11426,6
11425,3
11416,9
11403,2
11398,5
11396,1
11392,4
11391,7
11386,7
11379,8
11367,4
11353,1
11354,4
11355,4
11355,6
11355,6
